id_aluno,evasao,sexo,idade,estudante_nis,informou_nome_mae,informou_nome_pai,possui_deficiencia,raca_cor,tipo_localizacao_endereco_estudante,situacao_consolidada_no_ano,etapa_ensino,repetente,frequencia_escolar,notas_medias,nivel_socioeconomico,renda_familiar,trabalha,trabalho_domestico_excessivo,problemas_de_saude,violencia_domestica,gravidez_na_adolescencia,apoio_familiar,comportamento_em_sala,aceitacao_pelos_pares,necessita_assistencia_social,expectativa_retorno,fator_desencadeador_presente,distancia_da_escola_km,violencia_na_comunidade,engajamento_com_a_escola,infraestrutura_escolar,disponibilidade_material_didatico,flexibilidade_pedagogica,qualidade_pedagogica_percebida,pontuacao_risco,evasao_confirmada
252,False,Masculino,18,False,True,False,False,Branca,Rural,Aprovado,1° EM,False,93.5,7.5,N3,326.46,False,False,False,False,False,Alto,Regular,Média,False,Média,False,0.3,False,Baixo,Boa,Completa,Baixa,Ruim,0.15997968511934993,False
253,False,Masculino,21,True,True,True,False,Parda,Urbana,Aprovado,2° EM,False,76.6,8.2,N3,778.39,False,False,False,False,False,Baixo,Regular,Alta,False,Média,False,0.3,False,Moderado,Regular,Completa,Alta,Boa,0.21025901472828853,False
254,True,Masculino,22,True,False,False,False,Indígena,Urbana,Aprovado,4° EF,False,84.1,7.3,N3,956.94,False,False,False,False,False,Baixo,Regular,Baixa,False,Média,False,3.5,False,Baixo,Boa,Completa,Baixa,Regular,0.21787709497206706,True
255,False,Masculino,15,True,True,True,False,Parda,Urbana,Aprovado,2° EM,False,90.0,5.9,N3,239.67,False,False,False,False,False,Baixo,Regular,Média,False,Baixa,False,1.9,False,Baixo,Regular,Completa,Alta,Boa,0.2590147282884713,False
256,False,Feminino,20,False,True,True,True,Parda,Urbana,Evadido,1° EM,False,58.9,7.7,N3,1027.75,False,False,False,False,False,Médio,Ruim,Média,False,Média,False,2.1,False,Moderado,Boa,Parcial,Média,Ruim,0.3255459624174708,False
257,False,Feminino,16,False,True,False,False,Branca,Urbana,Aprovado,6° EF,False,68.7,6.0,N2,697.35,False,False,False,False,False,Baixo,Regular,Baixa,False,Média,False,2.6,False,Baixo,Ruim,Completa,Média,Regular,0.36211274758760786,False
258,False,Masculino,11,False,True,False,False,Parda,Urbana,Aprovado,3° EM,False,51.6,9.3,N5,876.01,False,False,False,False,False,Baixo,Bom,Média,False,Alta,False,2.0,False,Baixo,Regular,Parcial,Alta,Regular,0.28136109700355505,False
259,False,Feminino,20,True,True,True,False,Parda,Urbana,Evadido,2° EM,False,53.6,7.4,N7,548.89,False,True,False,False,False,Alto,Bom,Média,False,Média,False,2.8,True,Alto,Regular,Completa,Alta,Regular,0.3676993397663788,True
260,False,Masculino,18,False,True,True,False,Não declarada,Urbana,Aprovado,9° EF,False,59.5,5.9,N2,1201.28,False,False,False,False,True,Baixo,Bom,Alta,False,Baixa,False,2.8,False,Alto,Boa,Insuficiente,Média,Ruim,0.4139156932453022,True
261,False,Masculino,21,False,False,True,False,Parda,Rural,Aprovado,1° EM,False,54.9,8.0,N2,1502.32,False,False,False,False,False,Médio,Bom,Alta,False,Média,False,2.3,False,Moderado,Boa,Completa,Alta,Ruim,0.33062468257998984,False
262,False,Feminino,15,True,True,False,False,Parda,Urbana,Reprovado,1° EM,False,58.9,8.0,N7,567.06,False,False,False,False,False,Médio,Bom,Baixa,False,Alta,False,2.3,False,Moderado,Regular,Parcial,Média,Boa,0.3103098019299137,False
263,False,Feminino,11,False,True,True,False,Não declarada,Urbana,Aprovado,3° EF,False,89.6,6.1,N1,359.23,False,False,True,False,False,Alto,Regular,Alta,False,Alta,False,3.1,False,Moderado,Ruim,Parcial,Média,Boa,0.25088877602844084,True
264,False,Masculino,12,True,True,False,False,Branca,Rural,Aprovado,1° EM,False,61.6,7.5,N5,655.55,False,False,False,False,False,Médio,Regular,Alta,True,Baixa,False,3.0,False,Moderado,Regular,Completa,Alta,Boa,0.32199085830370744,False
265,False,Feminino,16,False,True,True,False,Branca,Urbana,Aprovado,9° EF,False,78.8,3.4,N1,251.86,False,False,False,False,False,Baixo,Bom,Alta,False,Baixa,True,0.1,False,Moderado,Regular,Insuficiente,Baixa,Regular,0.44286439817166073,True
266,False,Feminino,19,False,True,False,False,Preta,Urbana,Em andamento,8° EF,False,71.7,5.7,N7,827.89,False,False,False,False,False,Alto,Ruim,Alta,False,Média,False,1.0,True,Moderado,Boa,Parcial,Média,Regular,0.36211274758760786,False
267,False,Outro,20,True,False,False,False,Branca,Urbana,Aprovado,8° EF,False,72.5,6.0,N3,303.05,False,False,False,False,False,Baixo,Bom,Baixa,False,Alta,True,2.1,True,Baixo,Boa,Insuficiente,Média,Boa,0.3428136109700356,True
268,False,Masculino,12,False,True,True,False,Branca,Urbana,Aprovado,2° EM,False,50.7,5.4,N1,289.0,False,False,True,False,True,Alto,Regular,Alta,True,Alta,False,2.2,False,Alto,Regular,Insuficiente,Alta,Boa,0.484002031488065,True
269,False,Feminino,16,False,True,False,False,Branca,Urbana,Aprovado,7° EF,False,96.9,5.2,N3,1225.95,False,False,False,False,False,Médio,Bom,Alta,False,Alta,False,2.7,False,Moderado,Ruim,Completa,Alta,Boa,0.25952260030472313,False
270,False,Feminino,16,True,True,True,False,Parda,Urbana,Aprovado,1° EM,False,53.9,7.5,N3,401.96,False,False,False,False,False,Médio,Regular,Média,True,Baixa,False,1.5,False,Alto,Ruim,Completa,Média,Boa,0.3610970035551041,False
271,False,Feminino,18,True,True,True,False,Amarela,Urbana,Aprovado,7° EF,False,78.8,8.3,N4,376.0,True,False,False,True,False,Alto,Bom,Média,False,Baixa,False,1.0,True,Alto,Boa,Completa,Alta,Ruim,0.701879126460132,True
272,False,Feminino,18,True,True,False,False,Branca,Rural,Aprovado,2° EM,False,83.2,8.6,N2,296.23,True,True,True,True,False,Alto,Ruim,Baixa,False,Alta,False,3.6,False,Moderado,Regular,Completa,Alta,Boa,0.6642965972574911,True
273,False,Feminino,11,False,True,True,False,Parda,Rural,Aprovado,1° EM,False,92.1,5.3,N7,707.47,False,False,True,False,False,Médio,Regular,Alta,True,Alta,False,0.9,False,Moderado,Regular,Insuficiente,Média,Boa,0.27882173692229567,False
274,False,Feminino,22,False,True,False,False,Parda,Urbana,Reprovado,7° EF,False,70.7,7.9,N1,722.19,False,False,False,False,False,Médio,Bom,Alta,True,Média,False,2.0,False,Alto,Boa,Completa,Baixa,Boa,0.2554596241747079,True
275,False,Masculino,12,False,True,True,False,Parda,Urbana,Reprovado,2° EM,False,79.0,6.2,N6,661.89,False,False,False,False,False,Baixo,Regular,Média,False,Média,True,1.2,False,Alto,Ruim,Completa,Baixa,Boa,0.29964448958862366,False
276,False,Feminino,10,False,True,True,False,Não declarada,Urbana,Aprovado,3° EF,False,58.6,7.0,N3,765.58,False,False,True,False,False,Baixo,Regular,Baixa,False,Baixa,False,0.2,False,Alto,Boa,Parcial,Média,Boa,0.36262061960385983,False
277,False,Feminino,22,False,True,True,False,Indígena,Urbana,Aprovado,2° EM,False,81.9,6.7,N4,928.36,False,False,False,False,False,Baixo,Ruim,Alta,False,Média,False,2.4,True,Moderado,Boa,Completa,Média,Ruim,0.25952260030472313,False
278,False,Feminino,11,False,True,True,False,Preta,Urbana,Reprovado,3° EM,False,95.5,7.4,N1,270.21,False,False,False,False,False,Médio,Ruim,Alta,False,Média,False,3.9,False,Alto,Boa,Insuficiente,Média,Regular,0.15490096495683084,True
279,False,Feminino,17,False,False,True,False,Preta,Urbana,Aprovado,8° EF,False,55.2,9.2,N4,637.06,False,True,False,False,False,Alto,Regular,Alta,True,Baixa,False,0.9,False,Moderado,Regular,Parcial,Alta,Boa,0.2681564245810056,False
280,False,Feminino,11,False,True,False,False,Parda,Urbana,Aprovado,2° EM,False,58.4,5.7,N4,832.32,False,False,False,False,False,Alto,Regular,Baixa,False,Baixa,True,2.4,True,Moderado,Ruim,Completa,Baixa,Ruim,0.42965972574911127,False
281,True,Feminino,13,False,True,True,False,Branca,Urbana,Aprovado,5° EF,False,77.5,9.2,N3,393.57,False,True,False,False,False,Alto,Regular,Baixa,False,Alta,False,3.0,False,Moderado,Boa,Completa,Baixa,Boa,0.15490096495683092,False
282,False,Masculino,22,True,True,True,False,Branca,Urbana,Aprovado,4° EF,False,56.0,7.2,N1,586.46,False,False,False,False,False,Médio,Ruim,Média,False,Baixa,False,2.2,True,Moderado,Ruim,Parcial,Média,Regular,0.3656678517013712,False
283,False,Masculino,17,True,True,True,False,Não declarada,Urbana,Aprovado,4° EF,False,53.1,7.3,N2,585.84,False,False,False,False,False,Alto,Ruim,Baixa,False,Alta,False,2.6,True,Baixo,Regular,Parcial,Alta,Boa,0.37531742001015744,True
284,False,Feminino,20,False,True,True,False,Preta,Urbana,Reprovado,2° EM,False,90.2,8.7,N5,738.13,False,False,False,False,False,Médio,Bom,Alta,False,Alta,False,1.5,False,Alto,Regular,Completa,Média,Ruim,0.11579481970543423,False
285,False,Masculino,13,False,True,True,False,Branca,Urbana,Aprovado,2° EM,False,91.0,3.8,N5,1608.82,False,False,False,False,False,Baixo,Ruim,Média,False,Alta,False,2.1,False,Baixo,Regular,Completa,Alta,Boa,0.3605891315388522,True
286,False,Masculino,10,False,True,False,False,Preta,Urbana,Aprovado,8° EF,False,69.8,5.0,N2,644.75,False,False,False,False,False,Médio,Ruim,Média,True,Alta,False,1.8,False,Moderado,Boa,Insuficiente,Baixa,Regular,0.40731335703402743,False
287,True,Masculino,12,False,True,True,False,Branca,Urbana,Evadido,3° EF,False,70.4,10.1,N1,693.24,True,False,False,False,False,Alto,Bom,Baixa,False,Alta,False,1.9,False,Alto,Boa,Insuficiente,Alta,Boa,0.31454206873201285,True
288,False,Feminino,10,False,False,True,True,Parda,Urbana,Aprovado,2° EM,False,67.2,7.7,N5,504.14,False,False,False,False,False,Baixo,Regular,Média,False,Média,False,3.0,False,Baixo,Regular,Parcial,Média,Boa,0.2833925850685627,False
289,False,Masculino,17,False,True,True,False,Branca,Urbana,Em andamento,9° EF,False,50.2,6.6,N1,1108.69,False,False,False,False,False,Baixo,Bom,Alta,False,Alta,False,2.2,False,Alto,Ruim,Completa,Média,Ruim,0.425596749619096,False
290,False,Masculino,15,False,True,False,False,Parda,Urbana,Aprovado,1° EF,False,99.0,7.9,N3,337.17,False,False,False,False,False,Baixo,Bom,Média,False,Alta,True,3.8,False,Baixo,Boa,Completa,Média,Boa,0.11173184357541897,False
291,True,Feminino,18,False,True,True,True,Branca,Urbana,Aprovado,1° EM,False,78.9,8.3,N4,380.43,False,False,False,False,False,Alto,Regular,Média,False,Média,False,3.0,False,Moderado,Boa,Completa,Média,Regular,0.19349923819197554,False
292,True,Masculino,22,False,True,True,False,Não declarada,Urbana,Aprovado,6° EF,False,78.7,5.4,N6,776.78,False,False,False,False,False,Alto,Regular,Baixa,False,Alta,False,3.3,False,Baixo,Boa,Parcial,Baixa,Boa,0.34179786693753167,False
293,False,Feminino,11,True,True,False,True,Parda,Urbana,Aprovado,7° EF,False,72.9,7.3,N2,627.25,False,False,False,False,False,Médio,Bom,Média,False,Alta,False,1.4,False,Alto,Regular,Completa,Alta,Regular,0.27475876079228034,False
294,True,Masculino,14,True,True,True,False,Preta,Urbana,Aprovado,9° EF,False,70.6,6.2,N4,1346.32,False,False,False,False,False,Alto,Bom,Alta,False,Alta,False,4.1,True,Alto,Boa,Parcial,Alta,Regular,0.34230573895378363,False
295,False,Outro,19,False,True,True,False,Parda,Rural,Aprovado,7° EF,False,66.5,7.4,N2,778.98,False,False,False,False,False,Alto,Regular,Alta,False,Alta,False,1.6,False,Alto,Boa,Insuficiente,Alta,Ruim,0.30218384966988315,False
296,False,Masculino,11,False,True,True,False,Não declarada,Urbana,Aprovado,6° EF,False,90.8,4.7,N4,1671.87,False,False,False,False,False,Médio,Ruim,Média,False,Alta,False,1.2,False,Moderado,Ruim,Completa,Alta,Regular,0.31589639410868464,False
297,False,Feminino,22,False,True,True,False,Amarela,Urbana,Evadido,8° EF,False,97.4,5.6,N2,434.85,False,False,False,False,False,Baixo,Ruim,Média,True,Média,False,1.7,False,Baixo,Regular,Parcial,Baixa,Boa,0.23666835957338747,False
298,False,Feminino,14,False,True,True,False,Preta,Urbana,Aprovado,7° EF,False,75.0,4.7,N6,986.71,False,False,False,False,False,Médio,Regular,Alta,False,Alta,False,0.0,False,Alto,Regular,Parcial,Baixa,Regular,0.3961401726764855,True
299,False,Feminino,13,False,True,True,False,Amarela,Urbana,Reprovado,2° EM,False,93.1,5.2,N4,354.68,True,False,True,False,False,Alto,Bom,Baixa,True,Baixa,False,3.4,False,Moderado,Regular,Completa,Média,Boa,0.4481124090062638,True
300,False,Masculino,21,False,True,True,False,Parda,Urbana,Evadido,3° EF,False,56.3,5.5,N6,639.43,False,False,True,False,False,Alto,Regular,Alta,False,Alta,False,1.9,False,Moderado,Boa,Parcial,Baixa,Boa,0.4504824784154393,False
301,False,Feminino,16,False,True,True,False,Branca,Urbana,Aprovado,3° EM,False,77.6,4.2,N1,434.76,False,False,False,False,False,Alto,Regular,Alta,True,Alta,False,0.7,False,Moderado,Boa,Completa,Baixa,Boa,0.40832910106653125,False
302,False,Masculino,16,False,True,True,False,Parda,Rural,Aprovado,1° EM,False,84.0,7.5,N1,1082.66,False,False,False,False,False,Alto,Bom,Alta,False,Alta,True,1.9,False,Baixo,Boa,Insuficiente,Baixa,Boa,0.20822752666328084,False
303,False,Feminino,18,False,True,False,False,Branca,Urbana,Reprovado,2° EM,False,97.2,3.6,N4,1498.35,False,False,False,False,False,Alto,Regular,Alta,False,Alta,True,1.5,False,Baixo,Regular,Parcial,Alta,Ruim,0.33925850685627224,False
304,False,Outro,11,False,False,True,False,Branca,Urbana,Aprovado,9° EF,False,55.6,5.2,N3,410.22,False,False,True,False,False,Alto,Bom,Alta,False,Alta,False,1.9,False,Alto,Boa,Completa,Média,Boa,0.4692737430167598,False
305,False,Masculino,20,False,True,True,False,Parda,Urbana,Aprovado,7° EF,False,62.6,9.2,N1,297.56,False,False,False,False,False,Médio,Bom,Baixa,False,Média,False,2.2,True,Moderado,Ruim,Completa,Alta,Ruim,0.23057389537836467,False
306,False,Masculino,13,True,True,True,True,Parda,Rural,Evadido,9° EF,False,72.2,7.3,N7,639.13,False,False,False,False,False,Médio,Bom,Baixa,False,Alta,False,2.1,False,Moderado,Regular,Completa,Baixa,Boa,0.27831386490604365,False
307,False,Outro,14,False,True,True,False,Branca,Urbana,Reprovado,1° EM,False,95.6,7.4,N3,725.98,False,False,False,False,False,Médio,Regular,Média,True,Baixa,False,0.6,True,Moderado,Regular,Completa,Média,Boa,0.15439309294057899,False
308,False,Feminino,10,False,True,False,False,Preta,Urbana,Aprovado,6° EF,False,82.6,6.8,N3,383.26,False,False,False,False,False,Médio,Bom,Alta,True,Alta,True,1.6,False,Moderado,Ruim,Parcial,Alta,Regular,0.25088877602844084,False
309,True,Masculino,11,True,True,False,False,Parda,Rural,Aprovado,4° EF,False,56.5,6.6,N1,907.56,False,False,False,False,False,Alto,Ruim,Alta,False,Média,False,1.6,False,Alto,Boa,Parcial,Média,Regular,0.393600812595226,False
310,False,Masculino,12,False,True,True,False,Amarela,Urbana,Aprovado,3° EM,False,96.3,5.3,N4,520.32,False,False,False,False,False,Médio,Regular,Alta,True,Baixa,False,1.0,False,Alto,Boa,Insuficiente,Alta,Boa,0.2574911122397156,True
311,False,Masculino,15,False,True,False,False,Parda,Rural,Aprovado,1° EM,False,84.6,6.4,N7,546.85,True,True,False,False,False,Médio,Bom,Alta,False,Alta,False,4.3,True,Moderado,Regular,Completa,Alta,Regular,0.43033688843744705,False
312,False,Feminino,15,False,True,True,False,Branca,Urbana,Aprovado,2° EM,False,61.7,6.8,N7,748.44,False,False,False,False,False,Médio,Ruim,Alta,False,Alta,False,1.5,False,Baixo,Regular,Completa,Média,Regular,0.35703402742508883,True
313,False,Masculino,18,False,True,True,False,Parda,Rural,Aprovado,7° EF,False,83.0,7.8,N2,321.19,False,False,False,False,False,Alto,Bom,Baixa,False,Alta,False,2.2,True,Alto,Regular,Parcial,Média,Boa,0.19807008633824277,False
314,False,Masculino,14,False,True,True,False,Amarela,Rural,Reprovado,2° EM,False,57.3,9.5,N2,498.0,False,False,False,False,True,Médio,Regular,Média,True,Baixa,False,2.1,False,Alto,Boa,Parcial,Baixa,Boa,0.24225495175215847,True
315,False,Feminino,10,True,True,True,False,Parda,Urbana,Reprovado,2° EM,False,57.3,6.6,N3,641.64,False,False,False,False,False,Médio,Regular,Alta,False,Média,False,1.7,False,Moderado,Boa,Parcial,Alta,Regular,0.3895378364652108,False
316,False,Feminino,17,False,True,False,True,Branca,Urbana,Reprovado,1° EM,False,56.3,7.4,N2,752.89,False,False,False,False,False,Baixo,Bom,Baixa,False,Alta,False,0.3,False,Baixo,Regular,Completa,Média,Boa,0.3539867953275775,False
317,False,Masculino,14,False,True,True,False,Parda,Rural,Evadido,9° EF,False,64.1,5.9,N6,684.47,False,False,True,False,False,Médio,Bom,Baixa,False,Alta,False,1.0,False,Alto,Boa,Completa,Média,Ruim,0.39055358049771455,False
318,False,Masculino,19,False,True,False,False,Preta,Rural,Evadido,6° EF,False,88.7,7.4,N2,276.96,True,True,False,False,False,Médio,Bom,Média,False,Baixa,False,1.2,False,Baixo,Boa,Parcial,Média,Boa,0.35872693414592854,False
319,False,Masculino,15,False,True,True,False,Parda,Urbana,Aprovado,8° EF,False,98.5,6.7,N6,1431.84,False,False,True,False,False,Médio,Ruim,Baixa,False,Alta,False,3.4,False,Moderado,Regular,Completa,Alta,Regular,0.17521584560690706,True
320,False,Masculino,13,True,True,True,False,Não declarada,Rural,Aprovado,1° EM,False,66.9,7.4,N2,581.15,False,False,False,False,False,Médio,Ruim,Alta,True,Média,False,3.8,False,Alto,Regular,Completa,Média,Boa,0.3001523616048755,False
321,False,Masculino,13,False,True,True,False,Branca,Rural,Aprovado,1° EM,False,74.9,7.8,N7,577.41,False,False,True,False,False,Médio,Bom,Alta,False,Baixa,False,0.9,False,Baixo,Ruim,Completa,Alta,Boa,0.239207719654647,False
322,False,Masculino,10,True,True,True,False,Branca,Urbana,Aprovado,1° EM,False,69.9,4.1,N7,1338.06,False,False,False,False,False,Alto,Bom,Baixa,True,Baixa,False,3.0,True,Alto,Boa,Completa,Média,Regular,0.4525139664804469,False
323,True,Masculino,14,True,True,False,False,Branca,Urbana,Aprovado,3° EF,False,62.8,6.4,N5,587.04,False,False,False,False,False,Baixo,Bom,Alta,False,Alta,False,0.4,False,Alto,Boa,Completa,Média,Boa,0.37176231589639414,False
324,False,Feminino,15,False,True,False,False,Branca,Urbana,Evadido,2° EM,False,61.1,9.6,N2,433.97,False,False,False,False,False,Baixo,Bom,Baixa,False,Alta,False,2.3,True,Moderado,Boa,Completa,Média,Boa,0.21787709497206706,False
325,False,Feminino,11,False,True,False,False,Parda,Urbana,Aprovado,7° EF,False,99.9,4.6,N7,545.74,False,False,False,False,False,Alto,Bom,Alta,False,Média,False,1.1,False,Alto,Regular,Completa,Média,Boa,0.27475876079228034,False
326,False,Feminino,18,True,True,True,False,Preta,Rural,Aprovado,4° EF,False,88.8,9.1,N2,587.08,False,False,False,False,False,Médio,Ruim,Alta,False,Baixa,True,1.7,True,Alto,Boa,Parcial,Alta,Ruim,0.10259014728288474,True
327,False,Masculino,16,False,True,True,False,Amarela,Urbana,Aprovado,7° EF,False,66.6,6.7,N5,405.67,False,True,False,False,False,Baixo,Bom,Média,False,Média,False,2.3,False,Alto,Boa,Completa,Média,Regular,0.33722701879126465,False
328,False,Feminino,11,False,True,False,True,Branca,Urbana,Evadido,3° EM,False,56.2,7.8,N4,1303.56,True,False,False,False,True,Baixo,Regular,Média,True,Baixa,False,2.7,False,Moderado,Ruim,Completa,Baixa,Regular,0.5034704587777213,True
329,False,Masculino,17,False,True,True,False,Parda,Urbana,Aprovado,1° EM,False,64.3,7.6,N4,694.26,False,False,False,True,False,Médio,Bom,Alta,True,Alta,False,1.8,False,Baixo,Ruim,Completa,Alta,Boa,0.6417809378703234,True
330,False,Masculino,19,False,False,False,True,Parda,Urbana,Aprovado,9° EF,False,60.9,4.7,N1,285.67,True,False,False,False,False,Alto,Bom,Alta,False,Baixa,False,1.2,False,Moderado,Boa,Completa,Alta,Boa,0.6370407990519722,False
331,False,Feminino,21,False,True,True,False,Branca,Urbana,Aprovado,1° EM,False,91.9,6.5,N1,701.66,False,False,False,True,False,Alto,Bom,Média,True,Média,True,1.0,False,Alto,Regular,Completa,Alta,Regular,0.5574741831725072,False
332,False,Feminino,22,False,True,True,True,Parda,Urbana,Aprovado,2° EM,False,93.4,4.2,N5,586.09,False,True,False,False,False,Médio,Regular,Alta,False,Alta,False,1.1,False,Alto,Boa,Insuficiente,Alta,Regular,0.3280853224987303,False
333,False,Masculino,22,False,True,True,False,Parda,Urbana,Aprovado,2° EM,False,79.4,5.5,N5,524.19,False,False,True,False,False,Médio,Regular,Alta,True,Alta,False,1.7,False,Moderado,Boa,Insuficiente,Alta,Boa,0.3331640426612493,False
334,False,Feminino,14,False,True,True,False,Branca,Urbana,Aprovado,1° EM,False,63.3,6.5,N3,211.21,False,False,False,False,False,Baixo,Regular,Alta,False,Alta,False,3.4,False,Alto,Boa,Completa,Média,Regular,0.36414423565261556,False
335,False,Masculino,13,False,True,True,False,Parda,Urbana,Aprovado,2° EM,False,68.8,7.8,N3,1018.8,True,False,False,True,False,Baixo,Bom,Média,True,Média,False,2.7,False,Baixo,Regular,Completa,Média,Regular,0.7780599288979179,True
336,False,Feminino,18,False,True,True,False,Branca,Urbana,Evadido,1° EM,False,61.1,9.1,N6,401.65,True,False,False,False,False,Alto,Bom,Alta,False,Média,False,2.7,False,Moderado,Boa,Parcial,Alta,Regular,0.41256136786863046,False
337,False,Feminino,13,True,True,True,False,Preta,Urbana,Reprovado,2° EM,False,53.7,3.6,N6,838.39,False,False,False,True,False,Médio,Bom,Alta,True,Alta,False,3.4,True,Moderado,Boa,Parcial,Alta,Boa,0.898764178093787,True
338,False,Masculino,19,False,True,False,False,Parda,Rural,Aprovado,2° EM,False,80.2,4.7,N3,1570.75,True,False,False,False,False,Médio,Ruim,Alta,False,Alta,False,0.8,False,Alto,Ruim,Parcial,Baixa,Regular,0.5390214999153546,True
339,False,Feminino,17,False,True,True,False,Parda,Urbana,Aprovado,1° EF,False,83.9,6.6,N1,1692.61,False,False,False,False,False,Alto,Bom,Alta,False,Média,False,2.1,False,Baixo,Boa,Completa,Média,Regular,0.25444388014220415,False
340,False,Masculino,18,False,True,False,False,Parda,Urbana,Aprovado,7° EF,False,79.6,3.5,N6,729.77,False,True,False,False,False,Baixo,Bom,Média,False,Alta,False,1.7,True,Alto,Boa,Completa,Alta,Ruim,0.43372270187912654,False
341,False,Masculino,21,False,True,True,False,Parda,Urbana,Reprovado,1° EM,False,51.7,7.5,N1,1198.99,False,False,False,False,False,Baixo,Regular,Média,True,Alta,False,2.2,False,Moderado,Boa,Parcial,Alta,Boa,0.372270187912646,True
342,False,Feminino,13,False,True,True,False,Indígena,Urbana,Em andamento,6° EF,False,53.1,5.4,N5,610.01,False,False,False,False,False,Baixo,Bom,Alta,True,Alta,False,2.3,False,Moderado,Boa,Completa,Alta,Boa,0.4718131030980192,False
343,False,Feminino,12,False,True,True,False,Preta,Rural,Aprovado,2° EM,False,58.4,4.0,N3,1050.44,False,True,False,False,False,Alto,Ruim,Média,True,Média,True,2.0,False,Moderado,Boa,Completa,Média,Boa,0.515997968511935,False
344,False,Feminino,13,False,True,True,False,Parda,Urbana,Aprovado,1° EM,False,60.7,5.0,N7,784.15,False,True,False,False,False,Alto,Bom,Alta,False,Baixa,False,1.7,False,Moderado,Ruim,Parcial,Alta,Boa,0.4535297105129507,False
345,False,Masculino,18,False,True,True,False,Não declarada,Urbana,Aprovado,2° EM,False,73.8,7.4,N2,1048.19,False,False,True,False,False,Baixo,Ruim,Alta,True,Alta,False,2.7,False,Baixo,Boa,Parcial,Média,Boa,0.2651091924834941,False
346,False,Masculino,18,False,True,True,False,Branca,Urbana,Aprovado,6° EF,False,81.7,6.3,N3,1119.02,False,False,False,False,False,Alto,Regular,Alta,False,Média,False,1.6,False,Moderado,Regular,Parcial,Alta,Ruim,0.2808532249873032,True
347,False,Masculino,19,False,True,True,False,Branca,Urbana,Reprovado,2° EM,False,50.7,8.3,N3,381.51,False,False,False,True,False,Baixo,Bom,Baixa,True,Alta,True,2.0,True,Alto,Ruim,Completa,Baixa,Regular,0.675300490942949,True
348,False,Feminino,21,True,True,False,False,Parda,Rural,Evadido,8° EF,False,51.5,6.2,N4,1575.55,False,False,False,False,False,Baixo,Bom,Média,False,Alta,False,2.3,False,Moderado,Boa,Completa,Média,Ruim,0.4393092940578973,False
349,True,Feminino,20,False,False,False,False,Parda,Rural,Aprovado,3° EF,False,71.3,6.3,N7,604.42,False,False,False,False,False,Alto,Bom,Baixa,True,Alta,False,1.4,False,Alto,Regular,Completa,Média,Boa,0.3336719146775013,False
350,False,Masculino,11,False,True,False,False,Branca,Urbana,Reprovado,1° EM,False,85.0,3.9,N4,689.14,False,False,False,False,False,Médio,Bom,Alta,True,Alta,False,2.7,False,Alto,Regular,Completa,Baixa,Regular,0.3859827323514474,True
351,False,Feminino,13,False,True,False,False,Branca,Urbana,Aprovado,1° EM,False,83.4,4.5,N6,789.21,False,False,False,False,False,Alto,Ruim,Média,False,Alta,False,1.2,False,Moderado,Regular,Completa,Média,Boa,0.36363636363636365,False
352,False,Feminino,20,True,False,False,False,Parda,Urbana,Aprovado,2° EM,False,86.3,7.8,N6,767.66,False,False,False,False,False,Médio,Ruim,Alta,False,Alta,False,2.5,False,Alto,Boa,Parcial,Alta,Boa,0.18131030980192994,False
353,False,Feminino,11,False,True,True,False,Parda,Urbana,Aprovado,8° EF,False,64.7,7.8,N3,728.45,False,True,False,False,False,Alto,Ruim,Média,True,Alta,True,2.5,False,Baixo,Ruim,Completa,Média,Boa,0.29101066531234127,True
354,False,Masculino,12,False,True,True,False,Parda,Urbana,Reprovado,2° EM,False,91.0,5.3,N6,772.23,False,False,False,False,False,Médio,Regular,Média,True,Média,False,0.2,False,Alto,Boa,Parcial,Média,Boa,0.28440832910106656,True
355,False,Feminino,22,False,True,True,False,Branca,Urbana,Aprovado,1° EM,False,72.0,6.5,N7,1342.76,False,False,False,False,True,Médio,Regular,Média,False,Média,False,2.7,False,Baixo,Boa,Completa,Alta,Regular,0.31995937023869986,False
356,False,Masculino,10,True,True,True,False,Branca,Urbana,Aprovado,3° EM,False,72.7,9.2,N3,816.69,False,False,True,False,False,Alto,Bom,Baixa,False,Alta,False,2.1,False,Alto,Boa,Completa,Alta,Ruim,0.1792788217369223,False
357,True,Feminino,10,False,True,True,False,Parda,Rural,Aprovado,6° EF,False,76.4,4.7,N5,617.95,False,False,False,False,False,Alto,Regular,Alta,False,Alta,False,2.8,False,Baixo,Regular,Parcial,Média,Boa,0.3890299644489588,True
358,False,Masculino,21,False,True,False,False,Branca,Urbana,Reprovado,2° EM,False,65.6,7.3,N4,460.14,False,False,False,False,False,Baixo,Ruim,Média,False,Alta,False,2.8,False,Moderado,Boa,Parcial,Média,Regular,0.3118334179786694,False
359,False,Outro,13,True,True,True,False,Parda,Urbana,Aprovado,2° EM,False,95.0,5.8,N5,494.18,False,False,False,False,False,Alto,Bom,Média,False,Alta,False,0.5,False,Moderado,Boa,Completa,Alta,Boa,0.23869984763839514,False
360,False,Outro,13,True,True,False,False,Parda,Urbana,Aprovado,9° EF,False,58.0,5.6,N6,864.37,False,False,False,False,False,Médio,Ruim,Alta,True,Baixa,False,1.7,True,Baixo,Boa,Completa,Baixa,Boa,0.4367699339766379,False
